UF,Municipio,Regiao,PIB,Ano
PI,Jurema,Nordeste,43.007,2020
TO,Pugmil,Norte,81.841,2020
AM,Caapiranga,Norte,170.630,2020
CE,Catunda,Nordeste,104.429,2020
RS,Mampituba,Sul,53.586,2020
PE,Iati,Nordeste,197.405,2020
PE,Altinho,Nordeste,,2021
PI,Pau DArco do Piauí,Nordeste,31.704,2020
RN,Lajes Pintadas,Nordeste,,2021
SP,Turmalina,Sudeste,67.485,2020
BA,Filadélfia,Nordeste,,2021
PR,Esperança Nova,Sul,61.827,2020
SE,Itabi,Nordeste,,2021
MG,Conceição do Rio Verde,Sudeste,,2021
GO,Santa Isabel,Centro-Oeste,88.181,2020
BA,Floresta Azul,Nordeste,,2021
MG,Felisburgo,Sudeste,68.749,2020
MA,Poção de Pedras,Nordeste,142.727,2020
PE,São José do Belmonte,Nordeste,303.735,2020
MT,Araguainha,Centro-Oeste,,2021
MG,Inhaúma,Sudeste,,2021
PR,Arapuã,Sul,127.729,2020
MG,Piedade de Caratinga,Sudeste,113.555,2020
GO,Santa Fé de Goiás,Centro-Oeste,254.775,2020
BA,Anguera,Nordeste,78.343,2020
PI,Alegrete do Piauí,Nordeste,,2021
GO,Nova Iguaçu de Goiás,Centro-Oeste,50.699,2020
ES,Alto Rio Novo,Sudeste,97.264,2020
BA,Mascote,Nordeste,,2021
PI,Ribeiro Gonçalves,Nordeste,461.081,2020
PR,Marquinho,Sul,107.535,2020
CE,Ibicuitinga,Nordeste,112.310,2020
SE,São Francisco,Nordeste,,2021
PI,Batalha,Nordeste,218.538,2020
MA,Penalva,Nordeste,,2021
MG,Volta Grande,Sudeste,126.531,2020
BA,Banzaê,Nordeste,103.194,2020
MG,Cachoeira de Pajeú,Sudeste,,2021
MA,Loreto,Nordeste,,2021
PB,São Mamede,Nordeste,75.749,2020
BA,Macarani,Nordeste,,2021
PR,Itaguajé,Sul,113.339,2020
ES,Presidente Kennedy,Sudeste,,2021
MG,Ubaí,Sudeste,104.940,2020
CE,Farias Brito,Nordeste,208.411,2020
CE,Farias Brito,Nordeste,,2021
PE,São Vicente Ferrer,Nordeste,,2021
SP,Presidente Alves,Sudeste,72.702,2020
PR,Santa Cecília do Pavão,Sul,,2021
GO,Colinas do Sul,Centro-Oeste,56.604,2020
PB,Conceição,Nordeste,191.968,2020
MG,Machacalis,Sudeste,,2021
BA,Mascote,Nordeste,149.395,2020
PR,Nova Olímpia,Sul,98.658,2020
MA,Colinas,Nordeste,458.646,2020
PB,São José dos Ramos,Nordeste,53.964,2020
MG,Santa Maria do Salto,Sudeste,46.965,2020
RN,Lagoa Nova,Nordeste,,2021
PB,São João do Tigre,Nordeste,,2021
PR,Uniflor,Sul,,2021
GO,Itauçu,Centro-Oeste,180.910,2020
BA,Itamaraju,Nordeste,,2021
PA,Magalhães Barata,Norte,93.194,2020
PI,Barreiras do Piauí,Nordeste,125.690,2020
GO,Goiás,Centro-Oeste,,2021
PE,Tupanatinga,Nordeste,,2021
PA,Faro,Norte,,2021
PI,Alegrete do Piauí,Nordeste,55.116,2020
MG,Senhora dos Remédios,Sudeste,101.648,2020
BA,Presidente Dutra,Nordeste,119.353,2020
BA,Cairu,Nordeste,655.332,2020
MG,Serra da Saudade,Sudeste,21.055,2020
PB,Riachão do Poço,Nordeste,,2021
MG,Coroaci,Sudeste,119.186,2020
RS,Espumoso,Sul,622.577,2020
