Município,UF,População,Total Despesa
Baraúna,RN,27238,56340557.64
Barbacena,MG,134924,326733879.7
Barbalha,CE,58855,173087030.72
Barbosa,SP,7128,19609796.34
Barbosa Ferraz,PR,12487,30515082.17
Barcarena,PA,115779,307251040.07
Barcelos,AM,27433,35158778.36
Bariri,SP,34048,88421028.25
Barra,BA,54188,108287648.98
Barra Bonita,SC,1790,10489797.06
Barra Bonita,SP,36321,102024231.83
Barra D'Alcântara,PI,3887,10777547.12
Barra Funda,RS,2497,14316605.94
Barra Longa,MG,5799,21611471.91
Barra Mansa,RJ,179915,489997631.5
Barra Velha,SC,26374,84626108.66
Barra da Estiva,BA,22394,46384269.03
Barra de Guabiraba,PE,13953,30664583.88
Barra de Santa Rosa,PB,15145,30803528.56
Barra de Santana,PB,8249,18026898.79
Barra de Santo Antônio,AL,15742,37225749.65
Barra de São Francisco,ES,44599,114938366.28
Barra de São Miguel,AL,8266,30991014.56
Barra de São Miguel,PB,5905,16578108.65
Barra do Bugres,MT,33700,74721468.41
Barra do Chapéu,SP,5585,16459832.3
Barra do Choça,BA,34853,73911635.49
Barra do Corda,MA,86151,160191624.09
Barra do Garças,MT,58398,153256216.59
Barra do Guarita,RS,3236,12830431.27
Barra do Jacaré,PR,2821,12869384.16
Barra do Mendes,BA,14526,31830576.26
Barra do Ouro,TO,4460,13543834.95
Barra do Piraí,RJ,96865,203100033.66
Barra do Quaraí,RS,4201,18187618.44
Barra do Ribeiro,RS,13263,29045032.3
Barra do Rio Azul,RS,1952,11861818.53
Barra do Rocha,BA,6424,20875602.85
Barra do Turvo,SP,7828,27794668.34
Barra dos Coqueiros,SE,28677,90349034.64
Barracão,PR,10231,29503093.66
Barracão,RS,5485,18382763.94
Barras,PI,46072,80901943.41
Barreira,CE,20687,44678151.97
Barreiras,BA,153918,335582761.85
Barreirinha,AM,30658,61414162.91
Barreiros,PE,42220,84482864.16
Barretos,SP,119243,506592064.49
Barrinha,SP,31230,66637979.58
Barro,CE,22279,37238938.55
Barro Alto,BA,15377,29425227.95
Barro Alto,GO,10031,56598719.97
Barro Duro,PI,6935,15251355.22
Barro Preto,BA,6492,19517556.36
Barrocas,BA,15770,38891116.88
Barrolândia,TO,5601,14504526.28
Barroquinha,CE,14828,34288481.28
Barros Cassal,RS,11482,26846558.88
Barroso,MG,20693,44953227.09
Barueri,SP,262275,2220599017.38
Barão,RS,6061,22831110.28
Barão de Antonina,SP,3353,14026739.68
Barão de Cocais,MG,31270,121058715.29
Barão de Cotegipe,RS,6754,17737828.36
Barão de Grajaú,MA,18365,34850291.63
Barão de Melgaço,MT,7526,15363446.99
Barão de Monte Alto,MG,5706,15373457.19
Barão do Triunfo,RS,7388,17024868.63
Bastos,SP,21067,49326061.31
Bataguassu,MS,21775,71172663.51
Batalha,AL,18496,43579816.3
Batalha,PI,26331,47324906.61
Batatais,SP,60589,162663820.76
Batayporã,MS,11208,36183174.04
Baturité,CE,34949,61476554.16
Bauru,SP,366992,1105538228.32
Bayeux,PB,96140,166656912.11
Baía Formosa,RN,9182,20188342.11
Baía da Traição,PB,8826,16986947.13
Bebedouro,SP,77627,246326531.81
Beberibe,CE,52310,109848911.98
Bela Cruz,CE,32103,56528332.48
Bela Vista,MS,24113,62974163.3
Bela Vista da Caroba,PR,3848,14446240.45
Bela Vista de Goiás,GO,27628,69910232.23
Bela Vista de Minas,MG,10381,27564017.45
Bela Vista do Maranhão,MA,10931,32965277.14
Bela Vista do Paraíso,PR,15612,36379623.75
Bela Vista do Piauí,PI,3919,10902498.21
Bela Vista do Toldo,SC,6248,18434644.33
Belford Roxo,RJ,481127,655168530.48
Belmiro Braga,MG,3501,14502483.74
Belmonte,BA,23759,53992286.87
Belmonte,SC,2700,13171447.14
Belo Campo,BA,18383,41333583.72
Belo Horizonte,MG,2502557,9066518491.32
Belo Jardim,PE,75462,151614811.5
Belo Monte,AL,6775,19583553.18
Belo Oriente,MG,25619,70848054.97
Belo Vale,MG,7816,43184162.3
Belterra,PA,17036,42157066.31
Belágua,MA,7273,18848063.59
Belém,PA,1439561,2700484699.82
Belém,PB,17594,28732044.11
Belém de Maria,PE,11888,23833752.75
Belém do Brejo do Cruz,PB,7320,21165246.92
Belém do Piauí,PI,3464,11822206.51
Belém do São Francisco,PE,20675,38925013.83
Beneditinos,PI,10027,24747187.48
Benedito Novo,SC,11168,23657760.5
Benevides,PA,58637,94656712.22
Benjamin Constant,AM,39484,70993067.04
Benjamin Constant do Sul,RS,2264,12582749.81
Bento Fernandes,RN,5458,14876318.42
Bento Gonçalves,RS,113287,359525089.27
Bento de Abreu,SP,2879,14437586.9
Bequimão,MA,20853,36948179.37
Berilo,MG,12431,19137857.03
Berizal,MG,4661,12183958.73
Bernardino Batista,PB,3356,15791145.81
Bernardino de Campos,SP,11157,28516783.29
Bernardo Sayão,TO,4532,15460540.13
Bernardo do Mearim,MA,5900,14499669.45
Bertioga,SP,56555,357019640.62
Bertolínia,PI,5402,16024462.95
Bertópolis,MG,4664,12210332.63
Beruri,AM,18171,42237236.05
Betim,MG,417307,1439093587.68
Betânia,PE,12539,32012858.16
Betânia do Piauí,PI,6097,16642866.51
Bezerros,PE,60386,108812007.81
Bias Fortes,MG,3685,10073243.13
Bicas,MG,14413,26880022.95
Biguaçu,SC,64488,165445118.49
Bilac,SP,7682,23739630.07
Biquinhas,MG,2640,11156687.88
Birigui,SP,118352,313857621.89
Biritiba-Mirim,SP,31158,61144478.6
Biritinga,BA,15799,36256954.82
Bituruna,PR,16480,50191040.69
Blumenau,SC,338876,1303871511.31
Boa Esperança,ES,15318,42436887.55
Boa Esperança,MG,40287,95825099.74
Boa Esperança,PR,4478,20683000.4
Boa Esperança do Iguaçu,PR,2716,16192824.73
Boa Esperança do Sul,SP,14546,41603227.26
Boa Hora,PI,6599,17730025.18
Boa Nova,BA,14577,31825341.6
Boa Saúde,RN,9879,18274721.26
Boa Ventura,PB,5473,13065238.45
Boa Ventura de São Roque,PR,6683,22738743.36
Boa Viagem,CE,53838,98457530.98
Boa Vista,PB,6884,18625423.52
Boa Vista,RR,320714,957660951.59
Boa Vista da Aparecida,PR,7968,29589608.15
Boa Vista das Missões,RS,2170,13176717.73
Boa Vista do Buricá,RS,6815,21220623.7
Boa Vista do Cadeado,RS,2523,15479279.97
Boa Vista do Gurupi,MA,8996,19833078.39
Boa Vista do Incra,RS,2559,15768120.99
Boa Vista do Ramos,AM,17668,31132081.2
Boa Vista do Sul,RS,2859,16358258.51
Boa Vista do Tupim,BA,18658,37074891.78
Boca da Mata,AL,27399,79572486.43
Boca do Acre,AM,33498,48647686.18
Bocaina,PI,4436,11640395.91
Bocaina,SP,11810,33824147.89
Bocaina de Minas,MG,5174,12010587.65
Bocaina do Sul,SC,3424,15411235.38
Bocaiúva,MG,49600,87450320.25
Bocaiúva do Sul,PR,12159,29168992.29
Bodocó,PE,37317,68146069.93
Bodoquena,MS,7898,38618726.07
Bodó,RN,2358,15592506.0
Bofete,SP,10879,33178396.68
Boituva,SP,55725,187597431.86
Bom Conselho,PE,47760,88577006.44
Bom Despacho,MG,49236,111231837.96
Bom Jardim,MA,40660,67098926.63
Bom Jardim,PE,38924,70196640.93
Bom Jardim,RJ,26278,80266937.87
Bom Jardim da Serra,SC,4631,18219664.64
Bom Jardim de Goiás,GO,8826,19455980.61
Bom Jardim de Minas,MG,6653,15625362.26
Bom Jesus,PB,2532,13887865.21
Bom Jesus,PI,24327,70334187.88
Bom Jesus,RN,10114,19264152.81
Bom Jesus,RS,11797,34479399.4
Bom Jesus,SC,2821,12374554.42
Bom Jesus da Lapa,BA,69526,180370267.42
Bom Jesus da Penha,MG,4150,17121236.37
Bom Jesus da Serra,BA,10554,24343755.09
Bom Jesus das Selvas,MA,32900,70814914.46
Bom Jesus de Goiás,GO,23257,62895774.3
Bom Jesus do Amparo,MG,5923,14873342.49
Bom Jesus do Araguaia,MT,6018,22603822.45
Bom Jesus do Galho,MG,15542,23279299.0
Bom Jesus do Itabapoana,RJ,35964,93314447.02
Bom Jesus do Norte,ES,10176,25337049.65
Bom Jesus do Oeste,SC,2156,12994556.82
Bom Jesus do Sul,PR,3777,16254038.98
Bom Jesus do Tocantins,PA,16227,29955320.75
Bom Jesus do Tocantins,TO,4477,10936642.8
Bom Jesus dos Perdões,SP,23025,70103563.01
Bom Lugar,MA,15855,28032128.44
Bom Princípio,RS,12932,48222309.9
Bom Princípio do Piauí,PI,5497,18887295.4
Bom Progresso,RS,2261,12334742.66
Bom Repouso,MG,10767,23597038.2
Bom Retiro,SC,9598,20367382.33
Bom Retiro do Sul,RS,12110,28370095.09
Bom Sucesso,MG,17858,35356277.05
Bom Sucesso,PB,5007,11946535.83
Bom Sucesso,PR,6944,22156071.86
Bom Sucesso de Itararé,SP,3831,14073016.29
Bom Sucesso do Sul,PR,3365,18670363.69
Bombinhas,SC,17477,102887194.71
Bonfim,MG,7016,17543395.74
Bonfim,RR,11739,34112225.8
Bonfim do Piauí,PI,5549,12690966.22
Bonfinópolis de Minas,MG,5831,20553408.14
Boninal,BA,14585,27112389.12
Bonito,BA,16873,40169845.68
Bonito,MS,21047,75499630.97
Bonito,PE,38094,74497784.98
Bonito de Minas,MG,10669,24235485.06
Bonito de Santa Fé,PB,11684,22553058.61
Bonópolis,GO,3994,16467778.17
Boqueirão,PB,17670,34790954.11
Boqueirão do Leão,RS,7912,19551972.75
Boqueirão do Piauí,PI,6380,15825993.56
Boquim,SE,26750,45325055.62
Boquira,BA,22429,39800846.36
Boracéia,SP,4631,21274853.73
Borba,AM,39292,76985756.45
Borborema,PB,5366,14198146.9
Borborema,SP,15569,36908560.82
Borda da Mata,MG,18682,35340502.08
Borebi,SP,2519,14177090.32
Borrazópolis,PR,7497,21591747.04
Borá,SP,836,9946319.71
Bossoroca,RS,6873,24180178.32
Botucatu,SP,139483,373315438.22
Botumirim,MG,6574,13833615.9
Botuporã,BA,11021,33741603.09
Botuverá,SC,4943,20447160.16
Bozano,RS,2238,11769996.42
Braga,RS,3688,13463743.56
Braganey,PR,5742,18373422.06
Bragança,PA,121528,144214105.49
Bragança Paulista,SP,160665,408804541.34
Branquinha,AL,10745,33795533.01
Brasil Novo,PA,14984,42046062.02
Brasileira,PI,8159,15693492.79
Brasilândia,MS,11903,51180282.59
Brasilândia de Minas,MG,15727,28121945.66
Brasilândia do Sul,PR,3037,20373391.11
Brasilândia do Tocantins,TO,2177,10656922.21
Brasiléia,AC,23849,43578856.02
Brasnorte,MT,17815,58875957.71
Brasília de Minas,MG,32564,72203242.77
Brazabrantes,GO,3526,12478597.86
Brazópolis,MG,14934,25969290.85
Braço do Norte,SC,31765,72904138.04
Braço do Trombudo,SC,3654,16405145.26
Braúna,SP,5454,16903732.46
Braúnas,MG,5045,15043861.8
Brejetuba,ES,12755,31783452.51
Brejinho,PE,7464,20807235.72
Brejinho,RN,12509,23729855.07
Brejinho de Nazaré,TO,5451,14154803.34
Brejo Alegre,SP,2768,17386378.79
Brejo Grande,SE,8218,22672381.13
Brejo Grande do Araguaia,PA,7232,21357536.87
Brejo Santo,CE,48056,143365848.75
Brejo da Madre de Deus,PE,49092,100167388.08
