Municipio,UF,População,Total Despesa
Bom Jesus,PI,23826,36647019.58
Bom Jesus,RN,9965,14638979.15
Bom Jesus,RS,11823,26046597.71
Bom Jesus,SC,2721,9762077.9
Bom Jesus da Lapa,BA,68282,95423482.66
Bom Jesus da Penha,MG,4091,12033677.88
Bom Jesus da Serra,BA,10644,17916249.73
Bom Jesus das Selvas,MA,31320,53262230.89
Bom Jesus de Goiás,GO,22479,44072240.62
Bom Jesus do Amparo,MG,5817,10673331.04
Bom Jesus do Araguaia,MT,5756,12459825.82
Bom Jesus do Galho,MG,15633,20025650.29
Bom Jesus do Itabapoana,RJ,35825,71023835.3
Bom Jesus do Norte,ES,10095,20517757.99
Bom Jesus do Oeste,SC,2160,9072219.25
Bom Jesus do Sul,PR,3824,12313394.76
Bom Jesus do Tocantins,PA,15916,25538340.91
Bom Jesus do Tocantins,TO,4241,7878015.32
Bom Jesus dos Perdões,SP,21976,52300398.45
Bom Lugar,MA,15604,23266663.87
Bom Princípio,RS,12644,33621796.51
Bom Princípio do Piauí,PI,5447,11358693.16
Bom Progresso,RS,2311,9329697.88
Bom Repouso,MG,10759,19301865.24
Bom Retiro,SC,9397,17491052.47
Bom Retiro do Sul,RS,12004,22961267.0
Bom Sucesso,MG,17805,28888759.61
Bom Sucesso,PB,5044,11433035.38
Bom Sucesso,PR,6866,13007698.3
Bom Sucesso de Itararé,SP,3772,12962515.82
Bom Sucesso do Sul,PR,3372,15212387.02
Bombinhas,SC,16311,55363800.94
Bonfim,MG,7012,12370345.87
Bonfim,RR,11525,22641633.63
Bonfim do Piauí,PI,5512,9877722.67
Bonfinópolis,GO,8319,14557228.84
Bonfinópolis de Minas,MG,5904,16181892.33
Boninal,BA,14742,21973230.45
Bonito,BA,16132,
Bonito,MS,20597,51125752.81
Bonito,PE,38287,63511517.67
Bonito de Minas,MG,10395,15290872.63
Bonito de Santa Fé,PB,11409,19699429.62
Bonópolis,GO,3838,11964217.16
Boqueirão,PB,17434,25167411.07
Boqueirão do Leão,RS,7910,14397144.61
Boqueirão do Piauí,PI,6335,11713568.83
Boquim,SE,26529,27450539.26
Boquira,BA,22389,32469401.3
Boracéia,SP,4540,19475246.5
Borba,AM,38073,56490674.56
Borborema,PB,5297,10841090.26
Borborema,SP,15335,32742196.58
Borda da Mata,MG,18271,27417578.21
Borebi,SP,2458,14054350.59
Borrazópolis,PR,7724,15808003.15
Borá,SP,834,8450713.59
Bossoroca,RS,6953,19148059.66
Botelhos,MG,15326,21247557.0
Botucatu,SP,136269,273789919.99
Botumirim,MG,6612,11097689.03
Botuporã,BA,11162,24562816.36
Botuverá,SC,4785,11477041.3
Bozano,RS,2248,8884524.66
Braga,RS,3735,11099804.41
Braganey,PR,5799,14411551.93
Bragança,PA,118678,110364536.92
Bragança Paulista,SP,156995,319003423.97
Branquinha,AL,10823,24711193.96
Brasil Novo,PA,15300,34913060.01
Brasileira,PI,8116,11443337.82
Brasilândia,MS,11943,40001274.29
Brasilândia de Minas,MG,15310,20692851.68
Brasilândia do Sul,PR,3136,11120379.82
Brasilândia do Tocantins,TO,2154,7244543.37
Brasiléia,AC,22899,31494826.08
Brasnorte,MT,16895,41426983.76
Brasília de Minas,MG,32378,55266102.33
Brazabrantes,GO,3444,8758099.63
Brazópolis,MG,14982,19937987.15
Braço do Norte,SC,30868,51023771.22
